text,label
It obvious glance story fullersearth merest fabrication would absurd suppose powerful engine could designed inadequate purpose The walls wood floor consisted large iron trough I came examine I could see crust metallic deposit I stooped scraping see exactly I heard muttered exclamation German saw cadaverous colonel looking,A
Man least criminal lost enterprise originality As little practice seems degenerating agency recovering lost lead pencils giving advice young ladies boardingschools I think I touched bottom last however This note I morning marks zeropoint I fancy Read He tossed crumpled letter across It dated Montague Place upon preceding evening ran thus DEAR MR HOLMESI anxious consult whether I accept situation offered governess,A
I idea And king The King Scandinavia What Had lost wife You understand said Holmes suavely I extend affairs clients secrecy I promise Of course Very right right Im sure I beg pardon As case I ready give information may assist forming opinion Thank,A
You wont shake hands I go Oh certainly would give pleasure He put hand coldly grasped extended I hoped suggested Holmes would joined us friendly supper I think ask little much responded Lordship I may forced acquiesce recent developments I hardly expected make merry,A
Its big white yonder Theres twentysix makes us two dozen market Thank Maggie says I Id rather I handling The good three pound heavier said fattened expressly Never mind Ill Ill said I,A
Ah well quite settles matter It pity respects would really done nicely In case Miss Stoper I best inspect young ladies The manageress sat busy papers without word either us glanced much annoyance upon I could help suspecting lost handsome commission refusal,A
Its owner unknown I beg look upon battered billycock intellectual problem And first came It arrived upon Christmas morning company good fat goose I doubt roasting moment front Petersons fire The facts four oclock Christmas morning Peterson know honest fellow returning small jollification making way homeward Tottenham Court Road,A
The crate upon I contains  napoleons packed layers lead foil Our reserve bullion much larger present usually kept single branch office directors misgivings upon subject Which well justified observed Holmes And time arranged little plans I expect within hour matters head In meantime Mr Merryweather must put screen dark lantern And dark I afraid,A
Depend upon nothing unnatural commonplace I smiled shook head I quite understand thinking I said Of course position unofficial adviser helper everybody absolutely puzzled throughout three continents brought contact strange bizarre But hereI picked morning paper groundlet us put practical test Here first heading upon I,A
Supposing unhappy young mans story absolutely true hellish thing absolutely unforeseen extraordinary calamity could occurred time parted father moment drawn back screams rushed glade It something terrible deadly What could Might nature injuries reveal something medical instincts I rang bell called weekly county paper contained verbatim account inquest,A
Violence temper approaching mania hereditary family stepfathers case I believe intensified long residence tropics A series disgraceful brawls took place two ended policecourt last became terror village folks would fly approach immense strength absolutely uncontrollable anger Last week hurled local blacksmith parapet stream paying money I could gather together I able avert another public exposure,A
This would year  eight nine years England He begged father let live kind way When sober used fond playing backgammon draughts would make representative servants tradespeople time I sixteen I quite master house I kept keys could go I liked I liked long I disturb privacy,A
I possibly leave I seen machine It worth wait went You pass hinders And seeing I smiled shook head suddenly threw aside constraint made step forward hands wrung together For love Heaven whispered get away late But I somewhat headstrong nature ready engage affair obstacle way,A
Some woman came talking something Lord St Simon meseemed little I heard little secret marriage alsobut I managed get away soon overtook Frank We got cab together away drove lodgings taken Gordon Square true wedding years waiting Frank prisoner among Apaches escaped came Frisco found I given dead gone England followed upon last morning second wedding I saw paper explained American,A
